season,episode,timestamp,description
6,11,,"<pre>Shawn: Shawn Spencer psychic detective, SBPD. This is my partner Fellatio del Toro.</pre>"
6,11,,"<pre>Shawn: I'm Shawn Spencer. This is my partner, Eddie Adams from Torrance.</pre>"
6,12,,"<pre>Shawn: My name is shawn spencer. This is my partner, larenz tate.</pre>"
6,14,,"<pre>Shawn: I happen to be the head psychic detective for the SBPD, and my partner here is black.</pre>"
6,16,,"<pre>Shawn: Shawn Spencer. That is my partner, Sh'dynasty. It is spelled s-h... comma to the top... dynasty.
Jordan: Comma to the top?
Gus: That's God's comma.</pre>"
7,1,,"<pre>Shawn: My name is Shawnaise. This is my partner, Gurn Blandsten.
Gus: Strol.</pre>"
7,2,,"<pre>Shawn: Shawn Spencer, psychic detective. This is my partner immaculate conception. We are both not married.</pre>"
7,5,,"<pre>Shawn: Billy, it's me, Shawn Spencer, man. This is my partner, Domo Arigato....</pre>"
7,8,,"<pre>Shawn: This here is my associate, Jonas Gustavsson.</pre>"
7,9,,"<pre>Shawn: I am psychic detective Shawn Spencer. This is my partner, Blue Ivy Carter.
Gus: Waah! No pictures.</pre>"
7,10,,"<pre>Shawn: My name is Shawn Spencer. This is my partner, Bill Uvrights.
Gus: *does finger guns*
Shawn: What was that?
Gus: The right to bear arms.
Shawn: You just shot her in the face.
Gus: I wasn't aiming at her, Shawn. I was shadow-hunting.</pre>"
7,12,,"<pre>Shawn: Well, I am psychic detective, Shawn Spencer, and this is my partner, Django Unchained.
Miranda: I'm not amused by that. You want to try it again?</pre>"
7,12,,"<pre>Shawn: It's your favorite psychic, Shawn Spencer, and his partner, Burton Guster. 
Miranda: You just threw in the towel on your nickname game, huh?
Shawn: Well, I thought you didn't--</pre>"
7,14,,"<pre>Trout: So you must be the psychic detective.
Shawn: Shawn Spencer. This is my partner Burton Trout.
Gus: No relation.</pre>"
7,14,,"<pre>Shawn: I'm Shawn Spencer. This is my partner 'Bad News' Marvin Barnes.
Gus: I have bad news.</pre>"
7,15,,"<pre>Shawn: Hello, my name is Shawn Spencer, this is my partner, Lil' Wayne.</pre>"
7,15,,"<pre>Shawn: My name Is Shawn Spencer. This is my partner, King Mongkut.
Gus: Et cetera, et cetera.</pre>"
7,15,,"<pre>Shawn: Hello, Elisa, my name is Shawn Spencer. This is my partner, Gigi Van Tranh. 
Gus: Van Trenh.</pre>"
8,2,,"<pre>Shawn: I'm Shawn Spencer. This is my partner, Trending Ontwitter.
Gus: Hashtag what-would-Gus-do.</pre>"
8,3,,"<pre>Shawn: Hi there. My name is Shawn Spencer. This is my partner Robert Jones, but you may call him Bob.</pre>"
8,5,,"<pre>Shawn: Hi, we're-- 
Gus: My name is Burton Guster and this is my partner, Laika, the Space Dog.</pre>"
8,5,,"<pre>Emmanuelle: My name is Emmanuelle, and this is my partner, Denzel Diggs Underwood Morris Chestnut Washington.
Shawn: I can hear you. That is my bit.</pre>"
8,9,,"<pre>Teacher: Oh, you must be the Spencers. 
Shawn: We are, indeed. I'm Shawn Spencer, and this is my life partner Burton Guster Black Spencer.</pre>"
8,10,,"<pre>Shawn: My name is Shawn Spencer. This is my partner-- I can't do it.</pre>"
9,1,,"<pre>Shawn: My name is Burton Guster, and this is my partner, White Privilege. 
Shawn: Eh, that's my bit.</pre>"
9,2,,"<pre>Shawn: My name is Shawn Spencer and this is my partner Bill Poopingtons.
Gus: No. Shawn?
Shawn: What? 
Gus: Sidebar.
Shawn: All right.
Dolores: Carlton, what is happening right now?
Lassie: Let it go.
Dolores: Yes.
Gus: Bill Poopingtons. What kind of nickname is that?
Shawn: Transylvania Dutch. Why?
Gus: No, Shawn. No more embarrassing nicknames, especially in front of peers and professionals.
Shawn: Gus, don't be the night your dad fell asleep inside your mom. We can't just stop doing bits we've been doing for ten years. We have fans. There'll be a huge backlash.
Gus: Shawn, we are two dumbasses. We do not have fans. From now on, I do the nicknames.
Gus: No, no, no. Absolutely not. That's disgusting. Counterproposal: you have right of refusal until we land on one you like.
Gus: It's a Band-Aid, but okay for now.
Shawn: I'm terribly sorry, Dolores. What I meant to say was, my name is Shawn Spencer and this is my full-fledged partner All-The-Pips-In-One.
Gus: Accepted. Hello.</pre>"
9,2,,"<pre>Shawn: I'm Shawn Spencer, this is my partner Ding Dong Ditch.
Gus: Nope.
Shawn: Claude O'Dirt.
Gus: Mm-Mm.
Shawn: Big Poppa Pump?
Gus: Warmer.
Shawn: Lemona-Lemona-Lemona-lime...
Gus: Hello.</pre>"
9,2,,"<pre>Shawn: Name's Shawn Spencer. This is my partner, L'Eggo My Eggo.
Gus: No.
Shawn: Norman Brownbutter.
Gus: Try again, Shawn.
Shawn: Dijon Hounsou?
Gus: Accepted.
Shawn: Why Are You rejecting nicknames in front of a comatose guy?
Gus: Because I'm a pro.</pre>"
